Timestamps,Time,Visitors, Page Views, Transactions,Seasonality,Notable Events
01/01/2023,12:30:00,1000,5000,50,Winter,New Collection
02/01/2023,13:30:00,1200,5200,55,Summer,Sale
03/01/2023,09:00:00,900,4800,45,Summer,Sale
04/01/2023,11:00:00,1100,5100,52,Winter,Sale
05/01/2023,15:00:00,950,4700,48,Winter,Sale
06/01/2023,19:30:00,1150,5300,54,Winter,
07/01/2023,19:30:00,1050,4900,50,Spring,New Collection
08/01/2023,17:00:00,950,4600,45,Summer,New Collection
09/01/2023,19:00:00,1050,5100,51,Spring,
10/01/2023,15:30:00,1000,4800,48,Winter,Sale
11/01/2023,10:30:00,1100,5200,53,Summer,
12/01/2023,13:00:00,1200,5500,56,Winter,Sale
13/01/2023,09:30:00,1250,5700,58,Spring,
14/01/2023,14:30:00,1150,5300,54,Spring,New Collection
15/01/2023,19:30:00,1050,5000,51,Spring,Sale
16/01/2023,10:30:00,950,4800,47,Summer,New Collection
17/01/2023,10:00:00,900,4500,44,Summer,Sale
18/01/2023,15:00:00,950,4800,48,Winter,
19/01/2023,10:30:00,1000,5000,50,Summer,New Collection
20/01/2023,08:30:00,1100,5300,53,Summer,New Collection
21/01/2023,08:00:00,1200,5500,56,Winter,
22/01/2023,19:30:00,1300,5900,60,Spring,
23/01/2023,18:00:00,1250,5700,58,Summer,
24/01/2023,09:30:00,1150,5400,55,Summer,Sale
25/01/2023,10:30:00,1000,5000,50,Summer,Sale
26/01/2023,12:00:00,950,4800,47,Spring,
27/01/2023,18:00:00,900,4500,45,Summer,New Collection
28/01/2023,16:00:00,1050,5100,51,Spring,Sale
29/01/2023,17:30:00,1150,5500,55,Winter,New Collection
30/01/2023,19:30:00,1250,5700,58,Spring,Sale
31/01/2023,18:30:00,1300,5500,50,Summer,
01/02/2023,12:00:00,1150,5500,55,Spring,
02/02/2023,14:30:00,1050,5000,50,Winter,Sale
03/02/2023,13:00:00,1000,4800,48,Summer,New Collection
04/02/2023,12:30:00,900,4600,45,Summer,New Collection
05/02/2023,14:00:00,950,5000,49,Winter,
06/02/2023,10:30:00,1100,5200,53,Spring,Sale
07/02/2023,18:30:00,1200,5500,56,Winter,
08/02/2023,15:30:00,1300,5800,59,Winter,New Collection
09/02/2023,17:00:00,1250,5700,58,Winter,
10/02/2023,09:00:00,1150,5400,55,Winter,Sale
11/02/2023,19:30:00,1000,5100,50,Summer,
12/02/2023,08:30:00,950,4800,47,Spring,Sale
13/02/2023,09:30:00,900,4500,44,Winter,New Collection
14/02/2023,19:30:00,1050,5000,51,Winter,
15/02/2023,15:00:00,1150,5300,54,Winter,Sale
16/02/2023,20:00:00,1250,5700,58,Winter,Sale
17/02/2023,16:00:00,1300,5900,60,Summer,Sale
18/02/2023,16:30:00,1150,5500,56,Summer,New Collection
19/02/2023,08:00:00,1050,5100,52,Spring,
20/02/2023,12:00:00,1000,4800,48,Summer,New Collection
21/02/2023,11:30:00,900,4500,45,Winter,New Collection
22/02/2023,17:30:00,950,4800,48,Spring,
23/02/2023,08:00:00,1100,5200,53,Summer,
24/02/2023,20:00:00,1200,5500,57,Summer,
25/02/2023,14:00:00,1300,5800,59,Spring,Sale
26/02/2023,14:00:00,1250,5700,57,Winter,Sale
27/02/2023,10:00:00,1150,5300,54,Winter,New Collection
28/02/2023,19:30:00,1050,5000,51,Winter,New Collection
01/03/2023,18:00:00,1000,4800,48,Spring,
02/03/2023,11:30:00,950,4600,46,Winter,
03/03/2023,08:30:00,900,4400,44,Winter,Sale
04/03/2023,18:30:00,1050,5100,50,Summer,
05/03/2023,11:30:00,1150,5400,55,Summer,
06/03/2023,08:30:00,1250,5700,58,Winter,New Collection
07/03/2023,08:30:00,1300,5900,60,Winter,
08/03/2023,12:30:00,1150,5500,55,Summer,
09/03/2023,14:00:00,1050,5100,51,Winter,
10/03/2023,17:30:00,1300,5900,60,Winter,New Collection
11/03/2023,13:00:00,900,4600,46,Winter,Sale
12/03/2023,09:30:00,950,4800,48,Spring,Sale
13/03/2023,10:00:00,1100,5200,53,Winter,New Collection
14/03/2023,11:30:00,1200,5500,56,Winter,
15/03/2023,17:00:00,1300,5800,59,Spring,New Collection
16/03/2023,12:00:00,1250,5700,57,Winter,New Collection
17/03/2023,14:30:00,1150,5400,54,Winter,New Collection
18/03/2023,14:30:00,1050,5100,51,Winter,
19/03/2023,15:00:00,1000,4800,48,Summer,New Collection
20/03/2023,17:00:00,900,4500,45,Spring,New Collection
21/03/2023,19:30:00,950,4800,48,Spring,New Collection
22/03/2023,17:30:00,1100,5200,53,Summer,Sale
23/03/2023,08:30:00,1200,5500,57,Winter,New Collection
24/03/2023,12:30:00,1300,5900,60,Summer,New Collection
25/03/2023,17:00:00,1250,5700,57,Spring,Sale
26/03/2023,14:30:00,1150,5300,54,Spring,Sale
27/03/2023,16:00:00,1050,5000,51,Spring,New Collection
28/03/2023,15:00:00,1000,4800,48,Summer,Sale
29/03/2023,11:30:00,900,4500,45,Summer,New Collection
30/03/2023,08:00:00,950,4800,49,Spring,Sale
31/03/2023,18:30:00,1100,5200,53,Summer,New Collection
01/04/2023,09:00:00,1200,5500,56,Spring,New Collection
02/04/2023,13:00:00,1300,5800,59,Summer,Sale
03/04/2023,19:00:00,1250,5700,58,Summer,Sale
04/04/2023,17:30:00,1150,5300,54,Spring,New Collection
05/04/2023,14:30:00,1050,5000,51,Winter,Sale
06/04/2023,12:30:00,1000,4800,48,Winter,New Collection
07/04/2023,10:30:00,900,4500,45,Winter,New Collection
08/04/2023,10:30:00,950,4800,48,Spring,New Collection
09/04/2023,11:00:00,1100,5200,53,Winter,Sale
10/04/2023,12:30:00,1200,5500,56,Winter,Sale
11/04/2023,16:30:00,1300,5900,60,Summer,New Collection
12/04/2023,14:30:00,1250,5700,58,Spring,Sale
13/04/2023,14:00:00,1150,5300,55,Winter,Sale
14/04/2023,16:00:00,1050,5000,50,Summer,New Collection
15/04/2023,18:30:00,1000,4800,48,Winter,
16/04/2023,16:00:00,900,4500,45,Summer,New Collection
17/04/2023,15:30:00,950,4800,49,Winter,Sale
18/04/2023,14:30:00,1100,5200,53,Summer,New Collection
19/04/2023,11:00:00,1200,5500,56,Winter,New Collection
20/04/2023,18:00:00,1300,5800,59,Winter,Sale
21/04/2023,09:00:00,1250,5700,58,Spring,
22/04/2023,15:30:00,1150,5300,54,Winter,
23/04/2023,13:00:00,1050,5000,50,Spring,Sale
24/04/2023,14:00:00,1000,4800,48,Spring,
25/04/2023,13:00:00,900,4500,46,Summer,
26/04/2023,14:30:00,950,4800,48,Winter,
27/04/2023,17:30:00,1100,5200,52,Summer,New Collection
28/04/2023,13:30:00,1200,5500,56,Summer,
29/04/2023,18:30:00,1300,5300,59,Spring,
30/04/2023,19:30:00,1250,5700,57,Summer,
01/05/2023,19:00:00,1150,5300,55,Winter,Sale
02/05/2023,20:00:00,1050,5000,51,Summer,Sale
03/05/2023,17:00:00,1000,4800,49,Summer,Sale
04/05/2023,16:00:00,900,4800,48,Spring,
05/05/2023,15:00:00,950,4800,45,Summer,New Collection
06/05/2023,13:00:00,1100,5200,53,Winter,New Collection
07/05/2023,19:30:00,1200,5500,56,Summer,Sale
08/05/2023,13:00:00,1300,5800,59,Winter,New Collection
09/05/2023,18:00:00,1250,5700,58,Spring,
10/05/2023,20:00:00,1150,5300,55,Summer,New Collection
11/05/2023,16:30:00,1050,5000,51,Spring,
12/05/2023,14:00:00,1000,4800,49,Spring,Sale
13/05/2023,08:30:00,900,4500,46,Winter,Sale
14/05/2023,17:00:00,950,4800,48,Summer,Sale
15/05/2023,11:30:00,1100,5200,53,Summer,Sale
16/05/2023,10:00:00,1200,5500,56,Spring,New Collection
17/05/2023,08:30:00,1300,5800,59,Spring,Sale
18/05/2023,12:00:00,1250,5700,57,Winter,Sale
19/05/2023,12:30:00,1150,5300,55,Winter,Sale
20/05/2023,08:30:00,1050,5000,51,Winter,
21/05/2023,17:00:00,1000,4800,49,Winter,
22/05/2023,17:00:00,900,4500,46,Spring,New Collection
23/05/2023,19:30:00,950,4800,48,Spring,
24/05/2023,13:00:00,1100,5200,53,Winter,New Collection
25/05/2023,11:30:00,1200,5500,56,Summer,
26/05/2023,17:00:00,1300,5800,59,Spring,Sale
27/05/2023,08:30:00,1250,5700,57,Winter,
28/05/2023,12:00:00,1150,5300,55,Spring,New Collection
29/05/2023,20:00:00,1050,5000,51,Summer,New Collection
30/05/2023,20:00:00,1000,4800,49,Winter,Sale
31/05/2023,13:00:00,900,4500,46,Summer,
01/06/2023,19:30:00,950,4800,48,Spring,Sale
02/06/2023,18:30:00,1100,5200,53,Winter,Sale
03/06/2023,18:30:00,1200,5500,56,Spring,Sale
04/06/2023,18:30:00,1300,5800,59,Spring,New Collection
05/06/2023,16:00:00,1250,5700,57,Winter,Sale
06/06/2023,08:00:00,1150,5300,55,Spring,Sale
07/06/2023,14:00:00,1050,5000,51,Spring,New Collection
08/06/2023,14:30:00,1000,4800,49,Winter,Sale
09/06/2023,08:00:00,900,4500,46,Summer,
10/06/2023,08:30:00,950,4800,48,Summer,New Collection
11/06/2023,13:30:00,1100,5200,53,Spring,
12/06/2023,10:00:00,1200,5500,56,Spring,New Collection
13/06/2023,14:30:00,1300,5800,59,Summer,New Collection
14/06/2023,20:00:00,1250,5700,57,Spring,
15/06/2023,14:00:00,1150,5300,55,Summer,Sale
16/06/2023,19:30:00,1050,5000,51,Summer,New Collection
17/06/2023,08:30:00,1000,4800,49,Winter,Sale
18/06/2023,19:00:00,900,4500,46,Summer,Sale
19/06/2023,12:30:00,950,4800,48,Summer,
20/06/2023,20:00:00,1100,5200,53,Summer,
21/06/2023,19:00:00,1200,5500,56,Summer,
22/06/2023,18:00:00,1300,5800,59,Spring,
23/06/2023,13:00:00,950,4800,48,Summer,
24/06/2023,13:30:00,1150,5300,55,Spring,
25/06/2023,09:30:00,1050,5000,51,Summer,Sale
26/06/2023,20:00:00,1000,4800,49,Summer,New Collection
27/06/2023,08:00:00,900,4500,46,Summer,New Collection
28/06/2023,20:00:00,950,4800,48,Spring,Sale
29/06/2023,18:30:00,1100,5200,53,Winter,New Collection
30/06/2023,12:30:00,1200,5500,510,Spring,New Collection
